"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Mar 27 21:18:47 UTC 2025","Thu Mar 27 21:18:47 UTC 2025","288","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeUpdatedWithZeroID","Verify book record cannot be updated with zero ID",""
"passed","Thu Mar 27 21:18:46 UTC 2025","Thu Mar 27 21:18:47 UTC 2025","306","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeGottenForIdZero","Verify that a book record cannot be retrieved using ID 0",""
"passed","Thu Mar 27 21:18:47 UTC 2025","Thu Mar 27 21:18:48 UTC 2025","282","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeCreatedWithInvalidPublishDate","Verify book record cannot be created with an invalid publish date",""
"failed","Thu Mar 27 21:18:45 UTC 2025","Thu Mar 27 21:18:46 UTC 2025","1175","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCanBeDeleted","Verify book record can be deleted",""
"failed","Thu Mar 27 21:18:45 UTC 2025","Thu Mar 27 21:18:45 UTC 2025","286","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorsBooksRecordCanNotBeGottenWithZeroBookId","Verify authors books record cannot be gotten for zero book ID",""
"failed","Thu Mar 27 21:18:43 UTC 2025","Thu Mar 27 21:18:44 UTC 2025","391","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorRecordCannotBeCreatedWithNegativeId","Verify that an author record cannot be created with a negative ID",""
"passed","Thu Mar 27 21:18:44 UTC 2025","Thu Mar 27 21:18:44 UTC 2025","302","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorRecordCannotBeGottenForNegativeId","Verify that an author record cannot be retrieved using a negative ID (-1)",""
"failed","Thu Mar 27 21:18:46 UTC 2025","Thu Mar 27 21:18:46 UTC 2025","299","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeDeletedWithZeroID","Verify book record cannot be deleted with zero ID",""
"failed","Thu Mar 27 21:18:49 UTC 2025","Thu Mar 27 21:18:50 UTC 2025","768","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeUpdatedWithInvalidPublishDate","Verify book record cannot be updated with an invalid publish date",""
"failed","Thu Mar 27 21:18:46 UTC 2025","Thu Mar 27 21:18:46 UTC 2025","305","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeDeletedWithNegativeID","Verify book record cannot be deleted with negative ID",""
"passed","Thu Mar 27 21:18:46 UTC 2025","Thu Mar 27 21:18:47 UTC 2025","296","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeCreatedWithInvalidPublishDate","Verify book record cannot be created with an invalid publish date",""
"passed","Thu Mar 27 21:18:45 UTC 2025","Thu Mar 27 21:18:45 UTC 2025","481","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorsRecordListCanBeGotten","Verify authors record list can be gotten",""
"failed","Thu Mar 27 21:18:45 UTC 2025","Thu Mar 27 21:18:45 UTC 2025","313","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorsBooksRecordCanNotBeGottenWithNotExistingBookId","Verify authors books record cannot be gotten for not existing book ID",""
"passed","Thu Mar 27 21:18:47 UTC 2025","Thu Mar 27 21:18:47 UTC 2025","286","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeCreatedWithInvalidPublishDate","Verify book record cannot be created with an invalid publish date",""
"passed","Thu Mar 27 21:18:39 UTC 2025","Thu Mar 27 21:18:44 UTC 2025","4317","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorRecordCanBeCreated","Verify author record can be created",""
"failed","Thu Mar 27 21:18:47 UTC 2025","Thu Mar 27 21:18:48 UTC 2025","763","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeUpdatedWithZeroPageCount","Verify book record cannot be updated with zero page count",""
"failed","Thu Mar 27 21:18:45 UTC 2025","Thu Mar 27 21:18:46 UTC 2025","298","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeCreatedWithAllNullFields","Verify book record cannot be created with all null fields",""
"failed","Thu Mar 27 21:18:46 UTC 2025","Thu Mar 27 21:18:46 UTC 2025","303","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeCreatedWithNegativeID","Verify book record cannot be created with a negative ID",""
"failed","Thu Mar 27 21:18:39 UTC 2025","Thu Mar 27 21:18:43 UTC 2025","4035","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorRecordCanBeGotten","Verify author record can be gotten",""
"passed","Thu Mar 27 21:18:52 UTC 2025","Thu Mar 27 21:18:53 UTC 2025","746","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeUpdatedWithInvalidPublishDate","Verify book record cannot be updated with an invalid publish date",""
"failed","Thu Mar 27 21:18:46 UTC 2025","Thu Mar 27 21:18:46 UTC 2025","302","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeCreatedWithZeroID","Verify book record cannot be created with zero ID",""
"passed","Thu Mar 27 21:18:45 UTC 2025","Thu Mar 27 21:18:46 UTC 2025","792","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCanBeUpdated","Verify book record can be updated",""
"failed","Thu Mar 27 21:18:44 UTC 2025","Thu Mar 27 21:18:44 UTC 2025","298","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorRecordCannotBeDeletedWithNegativeId","Verify that an author record cannot be deleted with negative ID",""
"failed","Thu Mar 27 21:18:44 UTC 2025","Thu Mar 27 21:18:45 UTC 2025","712","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorRecordCannotBeUpdatedWithNegativeBookId","Verify that an author record cannot be updated with a negative book ID",""
"passed","Thu Mar 27 21:18:47 UTC 2025","Thu Mar 27 21:18:48 UTC 2025","549","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordListCanBeGotten","Verify book record list can be gotten",""
"failed","Thu Mar 27 21:18:46 UTC 2025","Thu Mar 27 21:18:46 UTC 2025","285","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeCreatedWithNegativePageCount","Verify book record cannot be created with a negative page count",""
"passed","Thu Mar 27 21:18:46 UTC 2025","Thu Mar 27 21:18:46 UTC 2025","287","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeCreatedWithInvalidPublishDate","Verify book record cannot be created with an invalid publish date",""
"failed","Thu Mar 27 21:18:44 UTC 2025","Thu Mar 27 21:18:44 UTC 2025","319","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorRecordCannotBeDeletedWithNonExistingId","Verify that an author record cannot be deleted with non-existing ID",""
"failed","Thu Mar 27 21:18:43 UTC 2025","Thu Mar 27 21:18:43 UTC 2025","394","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorRecordCannotBeCreatedWithNegativeBookId","Verify that an author record cannot be created with negative book ID",""
"passed","Thu Mar 27 21:18:47 UTC 2025","Thu Mar 27 21:18:47 UTC 2025","760","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeUpdatedWithInvalidPublishDate","Verify book record cannot be updated with an invalid publish date",""
"passed","Thu Mar 27 21:18:50 UTC 2025","Thu Mar 27 21:18:51 UTC 2025","757","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeUpdatedWithInvalidPublishDate","Verify book record cannot be updated with an invalid publish date",""
"failed","Thu Mar 27 21:18:46 UTC 2025","Thu Mar 27 21:18:46 UTC 2025","313","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeCreatedWithInvalidPublishDate","Verify book record cannot be created with an invalid publish date",""
"passed","Thu Mar 27 21:18:47 UTC 2025","Thu Mar 27 21:18:48 UTC 2025","752","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeUpdatedWithInvalidPublishDate","Verify book record cannot be updated with an invalid publish date",""
"failed","Thu Mar 27 21:18:46 UTC 2025","Thu Mar 27 21:18:46 UTC 2025","289","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeDeletedWithNonExistingID","Verify book record cannot be deleted with non-existing ID",""
"passed","Thu Mar 27 21:18:44 UTC 2025","Thu Mar 27 21:18:44 UTC 2025","299","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorRecordCannotBeGottenForMaxIntId","Verify that an author record cannot be retrieved using the maximum integer value as an ID",""
"passed","Thu Mar 27 21:18:51 UTC 2025","Thu Mar 27 21:18:51 UTC 2025","796","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeUpdatedWithInvalidPublishDate","Verify book record cannot be updated with an invalid publish date",""
"passed","Thu Mar 27 21:18:44 UTC 2025","Thu Mar 27 21:18:45 UTC 2025","307","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorsBooksRecordCanBeGotten","Verify authors books record can be gotten",""
"passed","Thu Mar 27 21:18:39 UTC 2025","Thu Mar 27 21:18:44 UTC 2025","4317","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorRecordCanBeUpdated","Verify author record can be updated",""
"passed","Thu Mar 27 21:18:51 UTC 2025","Thu Mar 27 21:18:52 UTC 2025","773","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeUpdatedWithInvalidPublishDate","Verify book record cannot be updated with an invalid publish date",""
"failed","Thu Mar 27 21:18:43 UTC 2025","Thu Mar 27 21:18:44 UTC 2025","333","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorRecordCannotBeCreatedWithZeroBookId","Verify that an author record cannot be created with zero book ID",""
"passed","Thu Mar 27 21:18:45 UTC 2025","Thu Mar 27 21:18:45 UTC 2025","363","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCanBeCreated","Verify book record can be created",""
"passed","Thu Mar 27 21:18:44 UTC 2025","Thu Mar 27 21:18:44 UTC 2025","297","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorRecordCannotBeGottenForIdZero","Verify that an author record cannot be retrieved using ID 0",""
"passed","Thu Mar 27 21:18:48 UTC 2025","Thu Mar 27 21:18:49 UTC 2025","766","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeUpdatedWithInvalidPublishDate","Verify book record cannot be updated with an invalid publish date",""
"failed","Thu Mar 27 21:18:44 UTC 2025","Thu Mar 27 21:18:44 UTC 2025","298","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorRecordCannotBeUpdatedWithNegativeId","Verify that an author record cannot be updated with a negative ID",""
"failed","Thu Mar 27 21:18:39 UTC 2025","Thu Mar 27 21:18:44 UTC 2025","4362","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorRecordCanBeDeleted","Verify author record can be deleted",""
"passed","Thu Mar 27 21:18:45 UTC 2025","Thu Mar 27 21:18:46 UTC 2025","300","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeCreatedWithInvalidPublishDate","Verify book record cannot be created with an invalid publish date",""
"failed","Thu Mar 27 21:18:44 UTC 2025","Thu Mar 27 21:18:44 UTC 2025","298","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorRecordCannotBeDeletedWithZeroId","Verify that an author record cannot be deleted with zero ID",""
"failed","Thu Mar 27 21:18:44 UTC 2025","Thu Mar 27 21:18:44 UTC 2025","308","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorRecordCannotBeCreatedWithZeroId","Verify that an author record cannot be created with created with zero ID",""
